,x,y,z
0,92460.32286,43210.79868,64
1,92498.96054,438194.9516,70.4
2,92499.11262,438220.5637,48
3,92444.18864,438229.011,51.2
4,92441.67136,438225.9024,35.2
5,92441.67136,438225.9024,16
6,92448.47983,438215.2419,0
7,92522.20738,438217.303,28.8
8,92522.20738,438217.303,19.2
9,92516.14228,438247.9496,16
10,92516.14228,438247.9496,0
11,92498.52131,438226.1895,16
12,92498.52131,438226.1895,0
13,92428.05442,438247.2232,38.4
14,92431.163,438244.7059,0
15,92423.61116,438235.3802,0
16,92408.06824,438247.9666,19.2
17,92382.60826,438273.7307,0
18,92405.70303,438270.4701,0
19,92408.22031,438273.5786,0
20,92415.77215,438282.9044,19.2
21,92469.05731,438208.8727,28.8
22,92469.05731,438208.8727,9.6
23,92493.92598,438188.7344,25.6
24,92514.06432,438213.6031,25.6
25,92507.10369,43198.6515,0
26,92415.77215,43828.9044,0
