,x,y,z,,,
0,92492,438180,12.8,0,0,0
1,92492,438180,60.8,0,0,0
2,92492,438180,67.2,0,0,0
3,92488.89142,438182.5173,6.4,0,0,0
4,92488.89142,438182.5173,22.4,0,0,0
5,92488.89142,438182.5173,28.8,0,0,0
6,92485.78283,438185.0346,16,0,0,0
7,92482.67425,438187.5518,12.8,0,0,0
8,92482.67425,438187.5518,25.6,0,0,0
9,92479.56566,438190.0691,54.4,0,0,0
10,92479.56566,438190.0691,57.6,0,0,0
11,92476.45708,438192.5864,28.8,0,0,0
12,92476.45708,438192.5864,51.2,0,0,0
13,92476.45708,438192.5864,60.8,0,0,0
14,92473.3485,438195.1037,9.6,0,0,0
15,92473.3485,438195.1037,16,0,0,0
16,92470.23991,438197.621,19.2,0,0,0
17,92467.13133,438200.1383,16,0,0,0
18,92467.13133,438200.1383,54.4,0,0,0
19,92464.02275,438202.6555,44.8,0,0,0
20,92460.91416,438205.1728,9.6,0,0,0
21,92460.91416,438205.1728,22.4,0,0,0
22,92460.91416,438205.1728,57.6,0,0,0
23,92457.80558,438207.6901,19.2,0,0,0
24,92454.69699,438210.2074,44.8,0,0,0
25,92454.69699,438210.2074,48,0,0,0
26,92451.58841,438212.7247,22.4,0,0,0
27,92451.58841,438212.7247,44.8,0,0,0
28,92448.47983,438215.2419,6.4,0,0,0
29,92448.47983,438215.2419,48,0,0,0
30,92448.47983,438215.2419,51.2,0,0,0
31,92445.37124,438217.7592,3.2,0,0,0
32,92445.37124,438217.7592,6.4,0,0,0
33,92442.26266,438220.2765,9.6,0,0,0
34,92442.26266,438220.2765,28.8,0,0,0
35,92439.15407,438222.7938,-4.29E-12,0,0,0
36,92439.15407,438222.7938,6.4,0,0,0
37,92439.15407,438222.7938,19.2,0,0,0
38,92436.04549,438225.3111,1.26E-11,0,0,0
39,92436.04549,438225.3111,16,0,0,0
40,92436.04549,438225.3111,22.4,0,0,0
41,92432.93691,438227.8283,16,0,0,0
42,92429.82832,438230.3456,16,0,0,0
43,92429.82832,438230.3456,22.4,0,0,0
44,92423.61116,438235.3802,16,0,0,0
45,92420.50257,438237.8975,9.6,0,0,0
46,92420.50257,438237.8975,16,0,0,0
47,92411.17682,438245.4493,9.6,0,0,0
48,92408.06824,438247.9666,3.2,0,0,0
49,92408.06824,438247.9666,12.8,0,0,0
50,92404.95965,438250.4839,12.8,0,0,0
51,92398.74248,438255.5184,3.81E-13,0,0,0
52,92398.74248,438255.5184,9.6,0,0,0
53,92392.52532,438260.553,12.8,0,0,0
54,92389.41673,438263.0703,9.6,0,0,0
55,92386.30815,438265.5876,-3.41E-13,0,0,0
56,92386.30815,438265.5876,9.6,0,0,0
57,92380.09098,438270.6221,-8.45E-12,0,0,0
58,92380.09098,438270.6221,6.4,0,0,0
59,92494.51728,438183.1086,3.2,0,0,0
60,92494.51728,438183.1086,6.4,0,0,0
61,92494.51728,438183.1086,19.2,0,0,0
62,92494.51728,438183.1086,32,0,0,0
63,92494.51728,438183.1086,54.4,0,0,0
64,92491.4087,438185.6259,16,0,0,0
65,92491.4087,438185.6259,60.8,0,0,0
66,92488.30011,438188.1431,16,0,0,0
67,92488.30011,438188.1431,22.4,0,0,0
68,92488.30011,438188.1431,25.6,0,0,0
69,92485.19153,438190.6604,9.6,0,0,0
70,92485.19153,438190.6604,19.2,0,0,0
71,92485.19153,438190.6604,32,0,0,0
72,92482.08295,438193.1777,16,0,0,0
73,92482.08295,438193.1777,35.2,0,0,0
74,92482.08295,438193.1777,44.8,0,0,0
75,92482.08295,438193.1777,51.2,0,0,0
76,92482.08295,438193.1777,60.8,0,0,0
77,92478.97436,438195.695,9.6,0,0,0
78,92478.97436,438195.695,44.8,0,0,0
79,92475.86578,438198.2123,38.4,0,0,0
80,92472.75719,438200.7296,12.8,0,0,0
81,92472.75719,438200.7296,22.4,0,0,0
82,92472.75719,438200.7296,28.8,0,0,0
83,92472.75719,438200.7296,54.4,0,0,0
84,92469.64861,438203.2468,22.4,0,0,0
85,92469.64861,438203.2468,25.6,0,0,0
86,92469.64861,438203.2468,54.4,0,0,0
87,92466.54003,438205.7641,9.6,0,0,0
88,92466.54003,438205.7641,16,0,0,0
89,92466.54003,438205.7641,22.4,0,0,0
90,92466.54003,438205.7641,48,0,0,0
91,92466.54003,438205.7641,51.2,0,0,0
92,92463.43144,438208.2814,16,0,0,0
93,92463.43144,438208.2814,28.8,0,0,0
94,92463.43144,438208.2814,32,0,0,0
95,92463.43144,438208.2814,41.6,0,0,0
96,92463.43144,438208.2814,54.4,0,0,0
97,92460.32286,438210.7987,16,0,0,0
98,92460.32286,438210.7987,22.4,0,0,0
99,92460.32286,438210.7987,25.6,0,0,0
100,92460.32286,438210.7987,54.4,0,0,0
101,92460.32286,438210.7987,57.6,0,0,0
102,92460.32286,438210.7987,64,0,0,0
103,92450.99711,438218.3505,-6.40E-12,0,0,0
104,92450.99711,438218.3505,3.2,0,0,0
105,92450.99711,438218.3505,6.4,0,0,0
106,92450.99711,438218.3505,25.6,0,0,0
107,92450.99711,438218.3505,38.4,0,0,0
108,92447.88852,438220.8678,19.2,0,0,0
109,92447.88852,438220.8678,44.8,0,0,0
110,92447.88852,438220.8678,48,0,0,0
111,92444.77994,438223.3851,16,0,0,0
112,92444.77994,438223.3851,35.2,0,0,0
113,92441.67136,438225.9024,9.6,0,0,0
114,92441.67136,438225.9024,16,0,0,0
115,92438.56277,438228.4197,6.07E-12,0,0,0
116,92438.56277,438228.4197,41.6,0,0,0
117,92435.45419,438230.9369,3.2,0,0,0
118,92435.45419,438230.9369,6.4,0,0,0
119,92435.45419,438230.9369,22.4,0,0,0
120,92432.3456,438233.4542,28.8,0,0,0
121,92429.23702,438235.9715,6.4,0,0,0
122,92429.23702,438235.9715,12.8,0,0,0
123,92426.12844,438238.4888,3.2,0,0,0
124,92426.12844,438238.4888,16,0,0,0
125,92426.12844,438238.4888,38.4,0,0,0
126,92423.01985,438241.0061,1.43E-12,0,0,0
127,92423.01985,438241.0061,3.2,0,0,0
128,92423.01985,438241.0061,12.8,0,0,0
129,92416.80269,438246.0406,-7.11E-12,0,0,0
130,92416.80269,438246.0406,3.2,0,0,0
131,92413.6941,438248.5579,16,0,0,0
132,92407.47693,438253.5925,9.6,0,0,0
133,92398.15118,438261.1443,-1.08E-11,0,0,0
134,92398.15118,438261.1443,6.4,0,0,0
135,92391.93401,438266.1789,12.8,0,0,0
136,92388.82543,438268.6962,9.64E-12,0,0,0
137,92497.03456,438186.2172,6.4,0,0,0
138,92497.03456,438186.2172,19.2,0,0,0
139,92497.03456,438186.2172,32,0,0,0
140,92493.92598,438188.7344,6.4,0,0,0
141,92493.92598,438188.7344,44.8,0,0,0
142,92490.8174,438191.2517,9.6,0,0,0
143,92490.8174,438191.2517,12.8,0,0,0
144,92490.8174,438191.2517,25.6,0,0,0
145,92487.70881,438193.769,1.36E-13,0,0,0
146,92487.70881,438193.769,9.6,0,0,0
147,92487.70881,438193.769,19.2,0,0,0
148,92484.60023,438196.2863,9.6,0,0,0
149,92484.60023,438196.2863,19.2,0,0,0
150,92481.49164,438198.8036,19.2,0,0,0
151,92478.38306,438201.3209,32,0,0,0
152,92478.38306,438201.3209,35.2,0,0,0
153,92478.38306,438201.3209,38.4,0,0,0
154,92478.38306,438201.3209,57.6,0,0,0
155,92475.27448,438203.8381,22.4,0,0,0
156,92475.27448,438203.8381,51.2,0,0,0
157,92472.16589,438206.3554,25.6,0,0,0
158,92469.05731,438208.8727,19.2,0,0,0
159,92465.94872,438211.39,9.6,0,0,0
160,92465.94872,438211.39,16,0,0,0
161,92465.94872,438211.39,25.6,0,0,0
162,92462.84014,438213.9073,44.8,0,0,0
163,92462.84014,438213.9073,60.8,0,0,0
164,92456.62297,438218.9418,9.6,0,0,0
165,92456.62297,438218.9418,28.8,0,0,0
166,92456.62297,438218.9418,32,0,0,0
167,92453.51439,438221.4591,22.4,0,0,0
168,92453.51439,438221.4591,41.6,0,0,0
169,92450.40581,438223.9764,3.2,0,0,0
170,92450.40581,438223.9764,6.4,0,0,0
171,92450.40581,438223.9764,16,0,0,0
172,92450.40581,438223.9764,32,0,0,0
173,92450.40581,438223.9764,35.2,0,0,0
174,92450.40581,438223.9764,38.4,0,0,0
175,92447.29722,438226.4937,9.98E-12,0,0,0
176,92447.29722,438226.4937,35.2,0,0,0
177,92444.18864,438229.011,12.8,0,0,0
178,92444.18864,438229.011,19.2,0,0,0
179,92444.18864,438229.011,51.2,0,0,0
180,92441.08005,438231.5282,12.8,0,0,0
181,92441.08005,438231.5282,16,0,0,0
182,92441.08005,438231.5282,22.4,0,0,0
183,92437.97147,438234.0455,16,0,0,0
184,92437.97147,438234.0455,41.6,0,0,0
185,92434.86289,438236.5628,6.4,0,0,0
186,92434.86289,438236.5628,19.2,0,0,0
187,92431.7543,438239.0801,3.2,0,0,0
188,92431.7543,438239.0801,38.4,0,0,0
189,92428.64572,438241.5974,9.6,0,0,0
190,92428.64572,438241.5974,16,0,0,0
191,92428.64572,438241.5974,28.8,0,0,0
192,92428.64572,438241.5974,38.4,0,0,0
193,92425.53713,438244.1146,9.6,0,0,0
